name,score
Demifemme,1005
Prüzze,987 
saanp,850
Black,804
Devious,804
Cobra,667
nomblegomble,627
WhitishMeteor,568
ChoffesBattleSnakeV1,566
Nodaconda-RED,545
Battlesnakev2.0,525
Pea,512
Rocket,508
trentren-vilu,505
Rufio,479
BattlePolar,458
"Ready,",448
Serpentor,413
Fer-De-Lance,387
dancing-mamba,383
Venusian,376
hungry,362
royal,358
ruby-danger-noodle,347
Eve,328
anaconda,326
Hunter,326
Dutch,321
Nessegrev-gamma,309
Cabeza,295
bsnekGo,285
Ava,264
Snek,263
king,250
hawthhhhhhh,244
Akira,238
😎,210
Untimely,205
Augustus,197
LongChamp,194
Becca,191
bun,183
Got,176
007,174
equis,167
Fresh,167
Megaton,165
BasicSnake,160
"Naive,",160
a,150
Blindschleiche,150
Fairy,149
team-snake01,140
blobSnake,135
DragoSnek,135
haspid,122
swattz,119
Potoooooooo,104
pastaz,99
Secret,98
Henry,89
Silly,85
Steven,81
Have,78
Badly,75
JS,74
Rhumba,74
BasicStrats,73
π-thon,67
foobax,52
cautious-octo-pancake,45
Super,45
Exploradora,43
💀💀💀💀💀,41
Acid,41
Black,37
Tickle,35
Wheat,33
EzSnek,31
MuddyMan,31
Nagini,31
Shai-Hulud,31
Alarming,27
Pumpkin,25
Bobby,22
testOne,18
Kuro,16
SimpleSnake,15
Ophion,14
Kisnake,13
CorneliusCodes,8
Tiberius,5
Waffle,1
Crimson,0
JS-Snake,0
MinoTAURO,0
New,0
Toby,0
tr0usersnake,0
vomc,0
